Well,Content Name,Concentration (M),Volume (mL),Diluted in,Identifiers (to be added)
A1,E. Coli,0.4,0.06,LB,A1
A2,E. Coli,0.4,0.06,LB,A2
A3,E. Coli,0.4,0.06,LB,A3
A4,E. Coli,0.4,0.06,LB,A4
A5,E. Coli,0.4,0.06,LB,A5
A6,E. Coli,0.4,0.06,LB,A6
A7,E. Coli,0.4,0.06,LB,A7
A8,E. Coli,0.4,0.06,LB,A8
A9,E. Coli,0.4,0.06,LB,A9
A10,E. Coli,0.4,0.06,LB,A10
A11,E. Coli,0.4,0.06,LB,A11
A12,E. Coli,0.4,0.06,LB,A12
B1,E. Coli,0.4,0.06,LB,B1
B2,E. Coli,0.4,0.06,LB,B2
B3,E. Coli,0.4,0.06,LB,B3
B4,E. Coli,0.4,0.06,LB,B4
B5,E. Coli,0.4,0.06,LB,B5
B6,E. Coli,0.4,0.06,LB,B6
B7,E. Coli,0.4,0.06,LB,B7
B8,E. Coli,0.4,0.06,LB,B8
B9,E. Coli,0.4,0.06,LB,B9
B10,E. Coli,0.4,0.06,LB,B10
B11,E. Coli,0.4,0.06,LB,B11
B12,E. Coli,0.4,0.06,LB,B12
C1,E. Coli,0.4,0.06,LB,C1
C2,E. Coli,0.4,0.06,LB,C2
C3,E. Coli,0.4,0.06,LB,C3
C4,E. Coli,0.4,0.06,LB,C4
C5,E. Coli,0.4,0.06,LB,C5
C6,E. Coli,0.4,0.06,LB,C6
C7,E. Coli,0.4,0.06,LB,C7
C8,E. Coli,0.4,0.06,LB,C8
C9,E. Coli,0.4,0.06,LB,C9
C10,E. Coli,0.4,0.06,LB,C10
C11,E. Coli,0.4,0.06,LB,C11
C12,E. Coli,0.4,0.06,LB,C12
D1,E. Coli,0.4,0.06,LB,D1
D2,E. Coli,0.4,0.06,LB,D2
D3,E. Coli,0.4,0.06,LB,D3
D4,E. Coli,0.4,0.06,LB,D4
D5,E. Coli,0.4,0.06,LB,D5
D6,E. Coli,0.4,0.06,LB,D6
D7,E. Coli,0.4,0.06,LB,D7
D8,E. Coli,0.4,0.06,LB,D8
D9,E. Coli,0.4,0.06,LB,D9
D10,E. Coli,0.4,0.06,LB,D10
D11,E. Coli,0.4,0.06,LB,D11
D12,E. Coli,0.4,0.06,LB,D12
E1,E. Coli,0.4,0.06,LB,E1
E2,E. Coli,0.4,0.06,LB,E2
E3,E. Coli,0.4,0.06,LB,E3
E4,E. Coli,0.4,0.06,LB,E4
E5,E. Coli,0.4,0.06,LB,E5
E6,E. Coli,0.4,0.06,LB,E6
E7,E. Coli,0.4,0.06,LB,E7
E8,E. Coli,0.4,0.06,LB,E8
E9,E. Coli,0.4,0.06,LB,E9
E10,E. Coli,0.4,0.06,LB,E10
E11,E. Coli,0.4,0.06,LB,E11
E12,E. Coli,0.4,0.06,LB,E12
F1,E. Coli,0.4,0.06,LB,F1
F2,E. Coli,0.4,0.06,LB,F2
F3,E. Coli,0.4,0.06,LB,F3
F4,E. Coli,0.4,0.06,LB,F4
F5,E. Coli,0.4,0.06,LB,F5
F6,E. Coli,0.4,0.06,LB,F6
F7,E. Coli,0.4,0.06,LB,F7
F8,E. Coli,0.4,0.06,LB,F8
F9,E. Coli,0.4,0.06,LB,F9
F10,E. Coli,0.4,0.06,LB,F10
F11,E. Coli,0.4,0.06,LB,F11
F12,E. Coli,0.4,0.06,LB,F12
G1,E. Coli,0.4,0.06,LB,G1
G2,E. Coli,0.4,0.06,LB,G2
G3,E. Coli,0.4,0.06,LB,G3
G4,E. Coli,0.4,0.06,LB,G4
G5,E. Coli,0.4,0.06,LB,G5
G6,E. Coli,0.4,0.06,LB,G6
G7,E. Coli,0.4,0.06,LB,G7
G8,E. Coli,0.4,0.06,LB,G8
G9,E. Coli,0.4,0.06,LB,G9
G10,E. Coli,0.4,0.06,LB,G10
G11,E. Coli,0.4,0.06,LB,G11
G12,E. Coli,0.4,0.06,LB,G12
H1,E. Coli,0.4,0.06,LB,H1
H2,E. Coli,0.4,0.06,LB,H2
H3,E. Coli,0.4,0.06,LB,H3
H4,E. Coli,0.4,0.06,LB,H4
H5,E. Coli,0.4,0.06,LB,H5
H6,E. Coli,0.4,0.06,LB,H6
H7,E. Coli,0.4,0.06,LB,H7
H8,E. Coli,0.4,0.06,LB,H8
H9,E. Coli,0.4,0.06,LB,H9
H10,E. Coli,0.4,0.06,LB,H10
H11,E. Coli,0.4,0.06,LB,H11
H12,E. Coli,0.4,0.06,LB,H12
