Well,Content Name,Concentration (M),Volume (uL),Diluted in,Identifiers (to be added)
A1,A1,,,LB,O=C(C)Oc1ccccc1C(=O)O
A2,A2,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A3,A3,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A4,A4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A5,A5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A6,A6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A7,A7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A8,A8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
A9,A9,0.8,,,O=C(C)Oc1ccccc1C(=O)O
A10,A10,0.8,,,O=C(C)Oc1ccccc1C(=O)O
A11,A11,0.8,,,O=C(C)Oc1ccccc1C(=O)O
A12,A12,0.8,,,O=C(C)Oc1ccccc1C(=O)O
B1,B1,0.8,,,O=C(C)Oc1ccccc1C(=O)O
B2,B2,0.8,,,O=C(C)Oc1ccccc1C(=O)O
B3,B3,0.8,,,O=C(C)Oc1ccccc1C(=O)O
B4,B4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B5,B5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B6,B6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B7,B7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B8,B8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B9,B9,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B10,B10,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B11,B11,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
B12,B12,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C1,C1,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C2,C2,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C3,C3,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C4,C4,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C5,C5,,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C6,C6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C7,C7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C8,C8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C9,C9,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C10,C10,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C11,C11,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
C12,C12,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D1,D1,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D2,D2,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D3,D3,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D4,D4,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D5,D5,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D6,D6,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D7,D7,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D8,D8,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D9,D9,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D10,D10,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D11,D11,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
D12,D12,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E1,E1,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
E2,E2,0.8,0.02,LB,O=C(C)Oc1ccccc1C(=O)O
